title	label
Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.	5
President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.	4
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.	0
Maggie Hassan raised tuition, making it the highest in America.	3
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.	4
We have towns in West Texas that are out of water, that are having to truck in water.	3
In Georgia, women earn 82 cents for every dollar earned by men.	2
Sen. Obama's campaign announced that he's choosing his cabinet.	4
In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.	1
Only 2 percent of public high schools in the country offer PE classes.	4
Said he's the only Republican candidate "who's actually turned around a government economy."	1
On military recruiters at Harvard, Elena Kagan "took a position and the Supreme Court ruled unanimously that she was wrong."	0
There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.	1
Under Mayor Cicilline, [Providence] was a sanctuary city.	4
Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.	5
Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.	4
U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.	3
Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.	3
If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.	0
Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.	3
The only time in our history when the debt has been higher than this was the end of World War II.	1
The cost of health care is now the single-biggest factor driving down the federal budget deficit.	1
During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.	0
On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.	4
Says one out of three U.S. homeless men is a veteran.	3
Says Charlie Crist supports cuts to the Medicare Advantage program.	4
Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.	0
At some point in their lives, 99% of women use birth control.	2
In the past 20 years, Egypt has made great strides in political and democratic reform.	4
The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.	4
Says U.S. Rep. Steve Southerland voted to keep the shutdown going.	0
In Rick Perrys Texas, we import nurses ... from other countries.	2
There is a federal criminal law that says its a crime to transport dentures across state lines.	1
Sen. McCain's tax plan provides "virtually nothing to the middle class."	3
Austin is burdened by the fastest-growing tax increases of any major city in the nation.	4
Phoenix, Arizona, is the No. 2 kidnapping capital of the world.	4
I belong to the AFL-CIO.	0
The insurance commissioner cant do squat about health care.	1
Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.	2
Says David Jolly supports privatizing Social Security.	3
Did you know US population growth is at its lowest since the Great Depression?	0
Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.	0
The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.	5
Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.	1
Sen. Obama has always had a 100 percent prochoice rating.	0
The (federal) debt is growing by more than $4 billion a day.	0
Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.	2
Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.	4
Says Obama promised unemployment would never go above 8 percent.	3
The economy is creating jobs at the fastest pace since 1999.	0
President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.	1
In a majority of states, you can now marry freely, but can still be fired for who you love.	1
Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.	5
Rudy Giuliani is "probably the most underqualified man since George Bush to seek the presidency."	5
About half of the presidents have been governors; half of them, senators.	4
After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.	1
Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.	1
Says 88 Texas constables have died in the line of duty.	0
Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.	1
The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.	1
As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.	0
You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.	1
The Air Force wants taxpayers to fund a fantasy football league.	4
Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.	5
About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.	2
Some neighborhood schools are closing.	1
He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.	1
The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.	1
We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.	3
Says the U.S. Supreme Court found that Social Security is not guaranteed.	0
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.	4
Oregonians have an amazing no-cost way to fight abortion with free political donations	0
The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.	5
Newt Gingrichs immigration plan offers a new doorway to amnesty.	1
Mr. Caprio is a career politician who has never worked in the private sector.	4
In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!	1
President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.	1
Donald Trump has said nuclear proliferation is OK.	2
Hillary Clinton has taken over $800,000 from lobbyists.	0
Barack Obama has never even worked in business.	4
Says the Arizona immigration law expressly bans racial profiling.	2
On the VA: Over 300,000 veterans have died waiting for care.	3
Were now spending 42 percent of our economy on government.	1
Rob Cornilles supports privatizing Medicare.	3
In 2005, Dan Branch tried to expand third-trimester abortions in Texas.	4
We (Democrats) have made steady progress creating jobs and improving our schools.	2
Whether you like to admit it or not, half our general revenue goes to education.	0
Im the only one whos fought against developers draining the Everglades!	4
Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.	2
Climate change is directly related to the growth of terrorism.	3
The jobs bill includes President Obamas tax on soup kitchens	3
Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.	3
We have more illegal immigrants here than we did five years ago.	4
Says Rick Perry wrote a letter supporting Hillarycare.	3
The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.	4
(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.	1
Says Chris Christie vetoed a jobs package of 30 bills.	2
There are already more American jobs in the solar industry than in coal mining.	0
Barack Obama is in an economy thats only worsened since hes been president of the United States.	2
Romney failed to take action against "sanctuary cities" in Massachusetts.	1
Says Thomas Eric Duncan came into the United States with an elevated temperature.	4
We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.	1
Gas prices have gone up $2 since Obama took office.	2
Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.	0
Says judges get better benefits at a lower cost than everybody else in the state.	0
There are a lot of casinos across the country that have gone bankrupt.	0
Small businesses create 70 percent of the jobs in America.	0
Seniors with coverage under Medicare Advantage will give up "more than their share" because of health care reform	2
Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.	2
If Texas were a country our economy would rank # 10...in the WORLD.	1
There are more oil rigs in operation in the United States than the rest of the world combined.	4
Payday lenders profit from the poor by charging 1,000-plus percent interest.	2
The Obama administration shut down the Amber Alert program because of the government shutdown.	4
The Republicans have 2 percent of the Muslim vote.	1
In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.	0
Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.	1
Not one Republican has the guts to recognize that climate change is real.	4
While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.	2
David Dewhurst has a record of promoting an income tax.	5
Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons	1
In the last five years, 28,000 people have been killed along the U.S.-Mexico border.	4
Says Obama health reform law denies millions access to affordable insurance.	4
Says HB2 hasnt moved the needle one iota on North Carolinas economy.	3
Close to 30% of our federal prison population consists of illegal immigrants.	4
Says Rick Scott called education not a core function of the state.	4
The Family Research Council, according to some government agencies, is a terrorist group.	4
Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.	0
Obamacare is the biggest tax increase in American history.	4
You ... said that Barack Obama was not ready to be commander in chief.	0
The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.	1
Milwaukee Mayor Tom Barrett has held the line on property taxes.	3
Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.	4
Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.	2
On how money from a possible lease of the Ohio Turnpike would be used	2
The president has had 1,540 of his nominations confirmed, only four defeated.	2
U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.	0
Democratic presidents "have been considerably more effective at creating private-sector jobs."	0
Joe Biden "voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq."	0
Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.	3
Military "recruiting went on at Harvard every single day throughout the time (Kagan) was there."	2
Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%.	1
The Paul Ryan budget proposal would privatize Medicare.	1
The United States imprisons more than any nation in the world.	2
Says Marco Rubio is the one for an open border.	5
...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.	1
Says cuts to Medicare affect people who have already paid in. We paid for it.	3
David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott.	3
The American healthcare system burns 18 percent of our national GDP. Nobody else is close.	0
Providences port is 200 miles closer to Europe than any other Eastern port.	4
Says you need a photo ID to purchase Sudafed in Texas.	0
Twenty percent of housing in Portlands Pearl District is affordable.	1
Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012.	1
Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.	2
Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.	2
Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.	3
We now have driven (health care) costs down to the lowest theyve been in 50 years.	4
In the 1950s, "A lot of people got rich and they had to pay a top tax rate of 90 percent."	1
The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough.	1
Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.	3
Warren (Buffett) still does support me.	0
Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.	0
About 230,000 people that were on unemployment when I took office are not on unemployment now.	1
One person, Kathleen Sebelius, was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die.	3
Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.	5
Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.	4
During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years.	0
Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.	5
Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.	4
Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent.	1
On legalizing illegal immigrants.	2
Nearly half of all pregnancies in the U.S. are unintended.	0
We are "borrowing Saudi money for Saudi oil" with the result being "dependency and debt."	2
Says there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy.	2
The top 1 percent pay over half of the entire revenue for this country.	4
Chris Christie has not increased the taxes on anyone.	2
The United States does not have a system through which growers and dairies can bring a workforce legally into the U.S.	3
Says he never said he would keep education funding the same.	4
Since 1978, college tuition nationwide has gone up something like four times the rate of inflation.	0
Says Sen. Rob Portman said, It would be irresponsible not to cut Medicare.	2
Most of, if not all of, the [DeKalb school construction] projects always came in on or were under budget.	1
(Palin) supported right-wing extremist Pat Buchanan for president in 2000.	4
Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes.	3
Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax.	3
Washington, D.C., had some of the strictest gun laws in the country. And when they passed them, violence skyrocketed.	2
Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.	1
What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!	5
The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs.	3
Thompson "voted against $250,000 caps on damages (and) almost anything that would make our legal system fairer."	3
Texas this fiscal year will have more money in reserve than the other 49 states combined.	5
On using the Strategic Petroleum Reserve.	4
Immigrants are more fertile.	1
The proposed education changes "will not cut one teacher's pay."	1
The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.	5
Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law.	1
Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.	4
We spend less on defense today as % of GDP than at any time since Pearl Harbor.	5
If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago.	1
Says Scott Walker wants to ban common forms of birth control, including the pill.	2
Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.	4
Shelby County donated Im sorry, gave 44 schools to the city of Memphis.	2
Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.	0
In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital.	0
There are mechanisms in place to shut down the Internet privately.	2
The American people support defunding Obamacare and oppose shutting down the government.	3
Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun.	0
The people of Rhode Island dont want same-sex marriage.	5
This year in Congress (Connie Mack IV) has missed almost half of his votes.	3
1/3 of our kids drop out (of high school), cannot go to college or start a career.	3
Not even old Gen. Eisenhower saluted military personnel as president.	3
You cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun.	3
74 percent of Republicans support the Affordable Care Act.	4
For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line.	2
The federal government has $3 trillion in cash flow, so we can pay our bills and wont default.	2
Says Alex Sink failed Florida homeowners by using predatory lending practices.	4
Over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out since Dodd-Frank has passed.	3
You cant check out a library book without a photo ID.	3
Says that Starbucks took Christmas off of their brand new cups.	5
Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.	1
The STAR Ohio fund just received the highest possible credit rating one of these funds can receive.	2
In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005.	1
Every year, more than $40 million are leaving Missouri for the Lone Star State.	2
A college loan is the only loan in the United States that you cannot refinance when interest rates go down.	1
The House of Representatives has never passed a resolution of disapproval to condemn a member's behavior.	1
We are younger than our competitors, and this is entirely because of immigration.	1
Recent international reports show the United States near the bottom among industrialized nations for k-12 academic achievement.	2
Says he raised average family income by 50 percent during his tenure as Arkansas governor.	3
They tried to give us $400 million to build a high-speed train that goes 39 miles an hour.	2
President Reagan did it (raised the debt ceiling) 18 times. George W. Bush did it seven times.	0
Most young Americans right now, theyre not covered by health insurance.	4
Over the last 10 years, Texas created 33 percent of the net new jobs nationwide.	0
Says two-thirds of groups targeted for IRS scrutiny were not conservative.	5
As a U.S. senator with salary and perks, ‪#Bernie‬ is in the top 1 percent, but still paid only 13 percent in taxes last year.	3
Says Texas routinely gets a lot more federal spending than it pays in taxes.	1
Cell phone numbers go public this month.	4
Says Texas has 11 different felonies you can commit with an oyster.	1
The Obama administration is unwinding our nations welfare-to-work requirements.	4
The Redskins Training Camp deal generated $40 million in new private investment in the city.	2
The GOP budget plan would cut nearly a million jobs.	2
There are more people living in this country who were not born here than at anytime in the history of the country.	2
Says Hillary Clinton defended Syrias President Assad as a possible reformer at the start of that countrys civil war.	2
Shes voted for 60 tax increases, hurting the middle class and small businesses.	5
Republican (small business tax cut) bill spends $80 million for better Google searches, not job creation	3
America is one of the highest-taxed nations in the world.	3
If black America were a country, itd be the 15th wealthiest nation in the world.	4
2008 was the deadliest year of the war (in Afghanistan) for American forces.	0
Florida teachers are "already paid $5,000 below the national average."	1
Says Amanda Fritz manages less than 5 percent of city operations.	0
The streetcar project planned by Mayor Tom Barrett would be a 1900s style trolley.	2
Polls show that Floridians dont want to repeal the Affordable Care Act.	3
Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act.	4
On offshore drilling for energy	0
Under a proposed medical marijuana amendment in Florida, you dont get refills -- you get it forever.	3
I haven't missed a vote since 1993.	0
Says the treasurers office has saved $37 million in management costs for the oversight of public investments.	3
Jorge Elorza wants to impose a municipal income tax.	4
The Supreme Court cant overrule the other two branchesof government.	3
Roughly 25% of RI has a criminal record	5
I havent raised taxes in the time Ive been the governor of New Jersey.	2
Massachusetts public schools teach kids as young as kindergartners about gay marriage.	4
I'm probably one of the four or five best-known Americans in the world.	5
We are accepting more legal immigrants than we ever have in the history (of the United States.)	3
Six people in Florida die as a result of (not expanding Medicaid) every day.	2
Gov. Maggie Hassans budget proposal raises taxes on small businesses and increases taxes and fees by $100 million.	1
Only in Washington would politicians spend $27 million to teach Moroccans how to make pottery.	3
Hillary Clinton "starts off with 47 percent of the country against her."	0
SaysRand Paulhas put out budgets to cut the military in half.	4
Groups that receive foreign money are spending huge sums to influence American elections.	2
Says legislative cuts mean Texas is spending on average $500 less per student.	0
We know that Saudi Arabia started al-Qaida.	2
Says Williamson County Attorney Jana Duty has never prosecuted a single adult felony case.	1
The fundraising numbers are in, and our grassroots support is unmatched!	4
Issue 2 makes it illegal for us to negotiate for enough firefighters to do the job.	1
Obama voted "to cut off funding for our American troops on the battlefield."	3
In general, it appears Wisconsins right to work bill would likely apply to the Green Bay Packers players and their union.	1
Gov. Scott Walker bought 80 new, brand-new vehicles for the state that we probably dont need.	3
Its gotten to a point where the average federal worker makes twice as much as the average private sector worker.	4
These 15 political appointees (on the IPAB) will make all the major health care decisions for over 300 million Americans.	4
Says stores will be barred from selling 100-watt light bulbs as of 2012.	3
Jason Carter supports using Georgia tax dollars to promote Obamacare	3
The most recent Associated Press poll has Nader-Gonzalez at 6 percent, without any national coverage, against McCain and Obama.	1
Dan Patrick said that if women get paid less than a man for the same job, that thats not a problem.	2
Weve got an average of 5,600 soldiers committing suicide. Thats about 20 a day.	2
Today, for the first time in fifteen years, Master Locks unionized plant in Milwaukee is running at full capacity.	0
Tom Reed has actually voted for every single trade deal that has ever come before him in any form.	0
ISIS camp a few miles from Texas, Mexican authorities confirm.	4
Say New Jersey Reps. Donald Payne and Frank Pallone are socialists who are openly serving in the U.S. Congress.	5
The unemployment rate may be as high as 42 percent.	5
Common Core is not from the federal government, they do not have their fingerprints on this thing at all.	1
Social Security is indeed a Ponzi scheme.	4
Says Scott Walker brags a lot about having an independent agency investigate police shootings. Of course, he didnt fund it.	3
What the Arizona law does is make a state crime out of something that already is... a federal crime.	1
In Miami-Dade County, we spend at our school system over $20 million every year educating recent immigrants.	1
The omnibus bill has only $3.8 billion in earmarks.	4
Trump proposed enacting the largest tax increase in American history.	0
Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18-billion of our budget.	0
We pay among the highest tolls in the nation for the privilege of crossing that bridge.	0
Sens. Isaksons, Chambliss Votes Against Unemployment Insurance Were Votes to Kill Nearly 6,000 Georgia Jobs.	2
Says real estate taxes were put in place to pay for Obamacare.	3
Says Kay Bailey Hutchison voted for sanctuary cities.	4
John Mica voted to borrow $10 trillion.	2
McCain "hired some of the biggest lobbyists in Washington to run his campaign."	0
We do not want to raise anybodys tax rates. Thats never been on the table.	3
When terrorists killed more than 250 Americans in Lebanon under Ronald Reagan, the Democrats didnt make that a partisan issue.	2
John wasn't this raging populist four years ago when he ran for president.	4
Crime is rising.	5
(Flint, Mich., is) paying three times more for poison water than I am paying in Burlington, Vt., for clean water.	1
(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care.	4
In the case of General Motors, the (Bush) administration wrote a check without asking for any conditions of change.	4
The Mitchell Park Domes lose about $1 million-plus every year and the number of people going to the Domes has been going down.	4
Under a bill before the legislature, youd have to go to court to fire an employee.	4
In the entire public school system in Camden last year, only three students graduated college ready.	1
Says nearly 29,000 Oregonians almost 5 percent of all homeowners are 90 days or more delinquent on their mortgage.	0
This is what President Obama said the jobless rate would be if we passed the stimulus: 5.6 percent.	3
U.S. global AIDS spending helped reduce political instability and violence by 40 percent in recipient nations.	3
I told the Congress 'thanks, but no thanks,' on that Bridge to Nowhere.	2
The actual (construction) contracts that weve awarded to date have come in several hundred million dollars below estimates.	1
State school funding per pupil is down 16 percent compared to 2009, after adjusting for inflation.	0
Unemployment has fallen from 10 percent during the presidents first year in office to 8.5 percent today.	2
There were more people on welfare than working in 2013.	4
Says State Rep. Kristi Thibaut was an ACORN lobbyist.	0
According to a national survey, transit ridership among people age 16 to 34 increased 40 percent between 2001 and 2009.	2
In fiscal year 2011-2012, 4,191 abortions were paid for by taxpayers via the Oregon Health Plan.	0
Im the only (Republican)candidate that has actually reduced the size of government.	2
Amazing fact: Senate has already voted on more amendments in 2015 than Reid allowed ALL YEAR last year.	1
Says state Supreme Court candidate Joe Donald twice supported incumbent Justice Rebecca Bradley.	1
There were 36 states where Republicans who were in charge refused to implement a state (health insurance) exchange.	3
Says a tweet he sent out wasnt saying, check out a sex tape. It was just take a look at the background of Alicia Machado.	5
Aphotograph of 21-year-old Hillary Clinton featured a Confederate battle flag in the background.	5
Texas leads the nation in the percentage of residents without health insurance.	0
A new college tuition reciprocity agreement with Minnesota makes college education more affordable for Wisconsin residents.	5
Says Cory Booker supports late-term and partial-birth abortion and opposes safety regulations.	2
The DNC says McCain flip-flopped on whether the Iraq War would be easy.	2
Says Ohio law gives tax breaks to rich people who own private jets.	1
Says Zack Space voted for budgets and debt, energy taxes and the stimulus, and we still lost more than 2.5 million jobs.	2
Says Paul Ryans budget plan ends Medicare.	5
Says New Hampshire has the third-highest property tax in the country.	0
Obama's tax plan cuts taxes "for 95 percent of all working families."	0
Says Colorado Democraticcongressional candidate MorganCarroll racked up $11 billion in new spending in the state Legislature.	3
59 percent of Americans today believe that Barack Obama is still a Muslim.	4
Carol Shea-Porter wants to increase taxes on small business and job creators.	4
A bill delaying the start of classes until Labor Day would permit school districts to shave 5 full weeks off the school year.	0
On whether the United States should intervene in Libya.	4
99.97 percent of the kids live in poverty that attend Cleveland public schools.	2
John Kitzhaber created 128,000 new jobs while governor.	2
Says Texas ranks 49th nationally in what we are doing to support our per-pupil investment in education in the state.	1
Despite keeping distance from national media interviewers, I did local press all along, the last three months.	3
What we said was, you can keep (your plan) if it hasnt changed since the law passed.	5
Says Florida didnt offer special incentives to Deutsche Bank, which announced it will add 300 jobs in Florida.	5
Says she was the first in her family to go to a four-year college.	5
There was a Gallup poll in Egypt last year, and 70 percent of Egyptians dont want our money.	0
Scott Maddox has run "losing campaigns for 3 of Florida's 4 available cabinet positions."	4
Americans spend 6.1 billion hours a year on tax preparation.	0
The budget I managed at the Department of Education was more than $60 million.	1
We are now, for the first time ever, energy independent.	4
Last year, Exxon pocketed nearly $4.7 million every hour.	0
Right now, 50 percent of Florida students leaving high school cannot read at grade level.	1
Marco Rubio voted against funding health clinics that provide critical care during this public health emergency (Zika).	3
Youre in more trouble if you leave your pet in the car than if you leave your child in the car.	2
SaysPeter Kilmartin voted in favor of expanding the good behavior statute to sex offenders.	4
On letting Occupy Atlanta protesters stay in Woodruff Park.	0
What I have put forward does not add a penny to the debt.	2
There are more African American men in prison, jail, on probation or parole than were enslaved in 1850.	0
On Lee Fishers watch, almost nine out of 10 jobs that Ohio lost were lost to other states, not to other countries.	1
Every president has raised the debt ceiling.	1
Limiting labor negotiations to only wages is how it is for the most part in the private sector.	4
Says on contraception, his plan is cheaper and easier for you than Sen. Mark Udalls	3
The states have always defined marriage.	2
Families in Del Valle, who are City of Austin residents, have to drive to Bastrop to go to the closest grocery store.	4
John McCain "opposed legislation to fund levees and flood control programs, which he considers pork."	2
Mitt Romneys pledged to protect (oil companies) record profits and their billions in special tax breaks, too.	2
Mark Warner voted for nearly $1 trillion in new taxes and $7 trillion in new debt.	0
State government spending will be increase 10.7 percent this year.	3
The FCCs net neutrality policy includes whatis essentially a massive tax increase.	2
More people die from medical misadventures than firearm accidents nationally and in Florida.	1
When we took office, let me remind you, there was virtually no international pressure on Iran.	4
The minimum wage is mostly an entry-level wage for young people.	1
Says six studies verify that the math adds up for Mitt Romneys tax plan.	3
In the United States, weve had 12 years in a row of wages declining.	2
Charlie Crist has six different positions on ObamaCare.	2
As governor, I've stood up to ... the big oil companies.	0
This year, were off to our best private-sector jobs growth since 1999.	1
Says abortion doctors are flying into this state, performing abortions and flying out.	4
Speaker Gingrich for 20 years supported a federal individual mandate for health insurance.	1
There have been at least 100 shootings each year [Angel Taveras] has been mayor of Providence.	1
Maurice Ferre says Kendrick Meek has voted 98.6 percent of the time with the Democrat party.	0
Weve created more jobs in the United States than every other advanced economy combined since I came into office.	2
One in four inmates is an illegal immigrant.	3
Wisconsin is dead last in income growth among midwestern states during Gov. Scott Walkers term.	0
I have had the challenge during this administration to suspend no less than 37 public officials in about 36 months.	1
On repeal of Wisconsins smoking ban	4
Ninety percent of Texans say they do not want the nursing homes to close. It polls higher than anything else.	1
Says 51 percent of federal tax filers paid zero federal income tax.	0
Because of the 2011 debt ceiling fight, the stock market lost 2,000 points.	1
Since Wisconsin Gov. Scott Walker took office, we are losing jobs at rates not seen in decades.	4
I would be the first Republican senator elected in New Jersey in 41 years.	0
Says unions take away hard-earned money of teachers, firefighters and police officers to play politics.	4
President Bush never did one interview with the New York Times during his entire presidency.	4
14,000 Americans . . . lose their health insurance every single day.	1
Mr. Trump is self-financing his campaign, so we dont have any donors.	4
Embryonic stem cell research is at a dead end, with no one good example of a successful treatment.	3
The U.S. spends more money on its military than the 16 biggest military budgets in the world combined.	2
Wisconsin has only one county, Dane, thats hand counting the votes in the 2016 presidential recount.	5
Says Libya Ambassador (Christopher) Stevens sent 600 requests for help in Benghazi.	3
The Affordable Care Act is bringing the cost of health care in our country down.	2
Tens of thousands of Atlanta households pay more than 30 percent of their income towards rent.	0
Out of 150,000 tenured teachers in the last 10 years, only 17 have been dismissed for incompetence.	1
