text	label
"In times of outrage, intolerance becomes contagious. Guard against those who blame all Muslims for Paris attacks"	1
 has returned from holidays with a #CharlieHebdo tribute cartoon #JeSuisCharlie	1
"I wake up to #NAACPBombing and #CharlieHebdo massacre, the violence of both betraying the insecurity &amp; weakness of the assailants."	1
Charlie Hebdo offended religious sensibilities? So did the Nigerian schoolgirls daring to go to school.	1
Al Qaeda added #CharlieHebdo editor to Most Wanted List for publishing Prophet Muhammad cartoons	1
". changes its avatar on Twitter to ""Je Suis Charlie"" after attack on #CharlieHebdo."	1
anyone who attacks mosques or abuses Muslims in the aftermath of #CharlieHebdo is doing the work of the jihadis by persecuting innocents	1
"Hours before the attack, #CharlieHebdo published a cartoon featuring the Islamic State:  (epa)"	1
Cartoonists around the world respond to the #CharlieHebdo killings:	1
#JesuisAhmed commemorates Muslim police officer Ahmed Merabet murdered in Charlie Hebdo attack	1
Salman Rushdie makes an impassioned plea to defend the art of satire #CharlieHebdo	1
The more I read the more gut wrenchingly depressing it is. Killing people for fun using religion as an excuse. Tossers  #JeSuisCharlie	1
I'm not #CharlieHebdo &amp; neither are the French or anyone else unless the duplicity in/of 'freedom' is abolished. #JeSuisCharlie #JeSuisAhmed	1
"French police block road to Longpont, north-east of Paris, as hunt for suspects in #CharlieHebdo attack continues"	1
"« He drew first » Cartoon for #CharlieHebdo team from cartoonist  (Canberra Times, Australie)"	1
People died today for telling jokes. #CharlieHebdo	1
When you've lost Hezbollah...	1
More police arrive at hostage situation scene in eastern Paris (LIVE)	1
If all white people aren't responsible for #NAACPBombing than neither should all Muslims be responsible for #CharlieHebdo. #JeSuisCharlie	1
But who wants the English in Europe? Quite enjoying some of these #CharlieHebdo covers:	1
Charlie Hebdo to continue publishing in the wake of the attack	1
Headquarters of  and  in Berlin. #JeSuisCharlie	1
#CharlieHebdo: Love is stronger than hate.	1
". In many respects, Indian liberals agree with the Islamic extremists who  attacked #CharlieHebdo."	1
All who said #JeSuisCharlie this week must today say #JeSuisJuif - I am a Jew. Stand with France's Jews against this vile attack.	1
In solidarity with freedom of speech and religion and #CharlieHebdo we should all tweet #NoNegotiationswithTerrorists	1
"UK's security committee Cobra to meet later, following #CharlieHebdo attack"	1
Charlie Hebdo cartoonist Wolinski’s daughter: ‘I don’t think you can kill ideas’	1
Tremendous front page to today's  Bravo  et al. Simply brilliant. #JeSuisCharlie    ↓	1
"Breathtaking. The cover of next week's New Yorker, by Ana Juan #JeSuisCharlie"	1
#CharlieHebdo will survive.	1
So heartbroken for France...thinking of all my French friends across the sea today #JeSuisCharlie	1
60 seconds of #solidarite.  #CharlieHebdo #JeSuisCharlie	1
→  Charlie Hebdo cartoons: media around the world chart different courses #CharlieHebdo 943	1
It's OK to criticize Charlie Hebdo:  Their cartoon of Boko Haram sex slaves as welfare queens:	1
"To all my Muslim friends: you don't need to apologize for the #CharlieHebdo attack in Paris. A criminal committed a crime, not Islam."	1
An estimated 6000 Jews left France last year and the international media paid no heed:	1
NEWSPAPERS: PUT THE MOHAMMED CARTOON ON YOUR FRONT PAGE TOMORROW. SHOW THEM WHO'S RUNNING THIS. #publishtheprophet #CharlieHebdo	1
"When you feel justified in killing people over cartoons, you have clearly lost your mind. #CharlieHebdo"	1
Smoke seen from building where Charlie Hebdo attack suspects are located. LIVE video:	1
beautiful #JeSuisCharlie cover for  next week	1
"So all you #JeSuisCharlie sheep, you make me sick, condemn the killings but don't make heroes and martyrs out of the racist idiots."	1
The French flag flying at half-mast from Glasgow City Chambers today. #JeSuisCharlie	1
New Yorker's reaction to #CharlieHebdo shooting	1
Photos from the manhunt for #CharlieHebdo suspects and ongoing hostage situations:	1
"I am shaking with rage at the attack on Charlie Hebdo. It's an attack on the free world. The entire free world should respond, ruthlessly."	1
The world needs this viewpoint a lot more. #CharlieHebdo	1
Twitter users are expressing solidarity with #CharlieHebdo by using the hashtag #JeSuisCharlie	1
"#France update: Car on fire in at synagogue in Paris is an accident, not related w/#CharlieHebdo - #Sarcelles Mayor"	1
The threat of violence should not become an excuse or justification for restricting freedom of speech. #JeSuisCharlie	1
"Charlie Hebdo will publish this week with a print run of 1 million, up from the usual 60,000"	1
Here is a 1st list of the demonstrations planned today throughout France to pay tribute to #CharlieHebdo &amp; to protest	1
Attack on #CharlieHebdo:The intl community cannot allow extremists to silence the free flow of opinions  #pressfreedom	1
"#CharlieHebdo editor, assassinated today, said in 2012: ""I prefer to die standing than to live on my knees."""	1
"Sad truth, is that if u crticize #islam even after #CharlieHebdo massacre, u wl still b labeled 'right wing fanatic' or islamophobic!"	1
A powerful  front cover : #CharlieHebdo	1
"The famous French cartoonist, Charb assassinated in #Paris, wrote recently about  #Kurds .#CharlieHebdo"	1
"Man urinates in the mosque! Prophet asks to let him to finish, then wash it away. Then sits and calmly explains to him. #CharlieHebdo"	1
This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices	1
#JeSuisCharlie in numbers	1
Let 2015 be the year that women all around the world took up cartooning/comics to tell their stories. #CharlieHebdo	1
Masked gunmen pictured near #CharlieHebdo offices	1
"True cowardice:  blurred out stereotypical imam in cover of #CharlieHebdo, left image of stereotypical Hasidic Jew."	1
This is an attack on free speech - French President Hollande after #CharlieHebdo shooting:	1
Too many news organisations now showing online footage of killings at #CharlieHebdo office but not the cartoons for which they were murdered	1
Excellent! The new cinema and art critics #JeSuisCharlie	1
#CharlieHebdo journalists inside dammartin asked to avoid filming police positions to not alert suspects where they are.	1
If we submit to extremists this Cartoon by Robert Mankoff from The New Yorker will be the norm. #CharlieHebdo	1
The solution. #JeSuisCharlie #CharlieHebdo	1
The unarmed policeman executed by the Charlie Hebdo terrorists was a Muslim	1
"The silence you hear is 2,000,000,000 Muslims not condemning this terror attack.    #CharlieHebdo"	1
Cartoonists respond with the only tools they have  #JeSuisCharlie	1
"#France's most famous cartoonist, 87 yr old Uderzo - father of Asterix - comes out of retirement for #CharlieHebdo."	1
#JeSuisCharlie: The internet unites against #CharlieHebdo terrorists.	1
BREAKING: Gunmen in #CharlieHebdo massacre reportedly killed:	1
Police release pictures of man and woman suspected of shooting a policewoman in #ParisAttacks	1
We stand in solidarity with our Ally #France #CharlieHebdo	1
"#CharlieHebdo editor/cartoonist Stephane ""Charb"" Charbonnier and 3 other cartoonists among those killed, police say."	1
For the 1st time since World War II there’ll be no Friday service in the Paris Grand Synagogue. At loss of words. #JeSuisJuif #JeSuisCharlie	1
We stand united with the victims of the brutal attack in Paris and with the people of France! #JeSuisCharlie RT!	1
Map shows where gun attack on satirical magazine #CharlieHebdo took place in central Paris	1
Zuckerberg on #CharlieHebdo: Facebook will protect free speech	1
Gunshots and explosions heard in #Dammartin	1
"Charlie Hebdo’s editor:  ""When activists need a pretext to justify their violence, they always find it.”  #CharlieHebdo"	1
#illridewithyou and #respectformuslims and #jesuischarlie all trended worldwide. Not so much on #jesuisjuif. Jewish blood is cheap.	1
My clip on  - scrutinising Islam as an idea is not the same as anti-Muslim hate crime  #JeSuisCharlie	1
#NUJ on Charlie Hebdo killings: assassination of journalists and an attempt to assassinate the free press. -	1
#CharlieHebdo-an equal opportunity satirical mag in the grand tradition of #France.  Long may that tradition continue!  #FreedomOfSpeech	1
12 people have reportedly been killed in a shooting at French satirical magazine Charlie Hebdo	1
"Have said it before, but needs saying again: Stop asking Muslims to condemn terrorism. It's bigoted and Islamophobic."	1
"JUST IN: Two brothers responsible for Charlie Hebdo massacre have been killed in Dammartin standoff, according to multiple reports"	1
A 60-second tribute to the victims of the #CharlieHebdo attack	1
These four pillars of press freedom gone...  #CharlieHebdo	1
"#BREAKING Paris newspaper Charlie Hebdo will come out next week, despite bloodbath: editorialist"	1
BREAKING NEWS: The 4 French cartoonists killed in #CharlieHebdo  terror attack today. RIP	1
LIVE coverage on the hostage situation with Paris attack suspects:	1
"Our statement on the Charlie Hebdo attack: defend freedom of speech, resist hatred."	1
Our thoughts and prayers are with the victims of this terrorist attack and the people of France -Pres. Obama statement on #CharlieHebdo.	1
The Earth without Art is just 'Eh'. #streetart #JeSuisCharlie	1
"If you r a Muslim on social media &amp; have not yet tweeted ""I am #CharlieHebdo,"" then you are an Islamist and our enemy"	1
"Now they're gonna think we're all bad guys, a Muslim bar owner from the neighborhood told me #CharlieHebdo"	1
Tensions high: French police stop scooter near scene of kosher grocery	1
"World sends messages of condolence, outrage, defiance via #JeSuisCharlie after Paris attack:"	1
No one can say this is a surprise. In July window-smashing rioters stormed thru Paris chanting 'gas the Jews'	1
This Michael Shaw cartoon from the  archives says a little and says a lot. #charliehebdo	1
We are all Charlie Hebdo. Kill us all!   #CharlieHebdo	1
"White terrorists are 'mentally ill', while brown terrorists are 'Islamic assassins'. #NAACPBombing #CharlieHebdo"	1
Why terrorists can't kill Charlie Hebdo‘s ideas	1
"Just as French society rose up and nobly said #JeSuisCharlie, it must now stand with its Jewish community and say #JeSuisJuif – I Am a Jew."	1
Everything we know about the #CharlieHebdo attack so far	1
"We don't know who carried out Charlie Hebdo attack. However if they were Muslims, then they are the enemies of me and most other Muslims."	1
"#JeSuisCharlie #CharlieHebd #ChalieHebdo One Child, one teacher, one book, and one pen,can Change the World -Malala-"	1
VIDEO Ambulances &amp; police race to site of hostage scene north-east of Paris as #CharlieHebdo gunmen reported killed	1
The East London Mosque would like to offer its sincere condolences to the families of those killed during the #CharlieHebdo attacks (1/2)	1
Freedom of speech is a right as much as a cause worth fighting for. Obscurantism is a danger made real today #CharlieHebdo	1
BREAKING: Two Charlie Hebdo attack suspects in Dammartin-en-Goele killed by security forces: govt source.	1
The Roots of Evil #CharlieHebdo	1
French Muslims condemn the Charlie Hebdo shooting	1
unprecedented: Paris ring road empty at Porte de Vincennes 100m fr hostage taking. Armed police everywhere	1
"#CharlieHebdo  journalist: ""We want to laugh at the extremists—every extremist. They can be Muslim, Jewish, Catholic"""	1
"Pictured: Ahmed Merabet, hero officer executed in #CharlieHebdo attack"	1
Pictures From #CharlieHebdo Solidarity Vigils Across The Globe	1
How Parisians responded to the #CharlieHebdo attack...	1
Hundreds of massacres committed daily against muslims in Burma and nobody says a word    #CharlieHebdo  #JeSuisCharlie	1
Cowardly attack on Charlie Hebdo's offices. The humourless fanatics can fuck off. Freedom of speech is more important than your feelings.	1
"Yes, they drew first. Don't ever be silent, don't ever be ignorant. We stand with you! #JeSuisCharlie  Everyone RT!"	1
People held pencils in tribute to #CharlieHebdo victims during the moment of silence in Paris	1
The attack on Charlie Hebdo is likely to radicalize all sides in the debate about Islam and Islamism. That's what terrorists are aiming for.	1
"Hollywood on #CharlieHebdo shooting: ""Free speech must be defended"""	1
BREAKING: Gunfire and new explosions heard at the site of hostage-taking in eastern Paris: Reuters reporter	1
Let 2015 be the year more people from around the world take up cartooning/comics to tell their stories #JeSuisCharlie	1
#CharlieHebdo: what we know so far	1
I support #CharlieHebdo and a free press. Please RT these cartoons to show a united and dignified defiance.	1
➟  » UPDATE » 692 Charlie Hebdo  Charlie Hebdo shooting: arrests made as police hunt for suspects – live updates #Cha…	1
You shouted 'Allahu Akber' whilst murdering others? You are a disgrace to my religion. May the dead rest in peace #notinmyname #charliehebdo	1
"As a Muslim, I find the murder of innocent people more despicable and offensive than any cartoon could ever be. #CharlieHebdo"	1
A satire on Mohammed can get you killed. A satire on Hindu God can get You 300 Crs!   And still Hindus should learn tolerance?  #CharlieHebdo	1
Google pushes cash to Charlie Hebdo but not Al-Ikhbariyah. What's is Google's view of the world?	1
RAW VIDEO (WARNING GRAPHIC):  Terror Attack on Charlie Hebdo Paris Headquarters:   via    #ParisShooting	1
"2 police officers killed during Charlie Hebdo attack were Ahmed Merabet, Franck Brinsolaro, police spokeswoman says."	1
The only way Global Media can pay respect to #CharlieHebdo martyrs is by reprinting and republishing them. Again &amp; again &amp; again &amp; again....	1
We stand with Charlie Hebdo in rejecting oppression and violence in all its forms.	1
"MORE: Police official: Suspects in Charlie Hebdo massacre killed, hostage freed:"	1
In case you are confused. Check who's the terrorist and who's the #Muslim. #JeSuisCharlie #JeSuisAhmed	1
"Incredible to see universal outrage in #Europe over #CharlieHebdo, but double standards when it comes to #Palestinian attacks on #Israel."	1
#JeSuisCharlie: The hashtag of solidarity after Paris attack that killed 12.  via	1
Social media users show solidarity for #CharlieHebdo with #JeSuisCharlie hashtag	1
"DEVELOPING: Women, children held in second Paris hostage situation; may be related to massacre"	1
24 of the most powerful cartoons related to the #CharlieHebdo tragedy:	1
Egypt top Muslim institution Al Azhar and the Arab league condemn Paris #CharlieHebdo attack.	1
"Only Jew-hatred explains why Europeans pretend Israel's enemies are not the West's, as Muslims murder Jews and #CharlieHebdo in Paris."	1
Smoke rising over first #Paris hostage scene. Watch live on CNN.	1
This is Melbourne right now!   #JeSuisCharlie  #CharlieHebdo	1
Follow this list for journalists &amp; media outlets covering the attack on #CharlieHebdo magazine in Paris:	1
"Details of attacks on Muslim community in France, grenades, &amp; shootings in aftermath of the #CharlieHebdo attack"	1
"After the awful attack on #CharlieHebdo, France should set example of tolerance, protect Muslims from reprisals"	1
"Everyone who blamed #CharlieHebdo cartoons for provoking its own slaughter, tell that to the dead shoppers at a Kosher supermarket in Paris"	1
Crowd gathered at Union Square in NYC right now to memorialize those killed in #CharlieHedbo attack. #JeSuisCharlie	1
"Charlie Hebdo magazine is planning a print-run of its next issue of a million copies, not usual 60,000. Expected to sell out #wato"	1
MT  The Eiffel tower to switch off the lights at 20h in tribute to #CharlieHebdo victims	1
A 2012 cartoon by the  - well worth remembering today #CharlieHebdo #ParisShooting	1
"#JeSuisCharlie trending Worldwide - over 56,000 tweets (via  More via"	1
"Retweet if you think satire should not be censored:  ""Love stronger than hate"":  #CharlieHebdo"	1
The Eiffel Tower went dark last night to remember the victims of #CharlieHebdo  #JeSuisCharlie	1
"#AJEOpinion: ""It’s going to get a lot worse for France’s Muslims"" #CharlieHebdo"	1
#Iran'ian regime has been initiated   nourished the idea of killing fatwa starting with Salman Rushdie #JeSuisCharlie	1
Our vantage point on the gunfire and explosions in Dammartin	1
"Today, as journalists ""bravely"" voice support for #CharlieHebdo, ask them for their piece calling on Yale to publish the Muhammad cartoons."	1
I may not agree with what you say but will defend your right to say it - Voltaire #JeSuisCharlie #LibertéDexpression	1
"#CharlieHebdo’s Charb: ""I would rather die standing up than live on my knees”   /ht"	1
"Muslim can't be terrorist, and terrorist can't be Muslim. I deplore and strongly condemn the inhuman attack against #CharlieHebdo"	1
"“If liberty means anything at all, it means the right to tell people what they do not want to hear."" #CharlieHebdo"	1
"Out of all the cartoons we've seen, I think this is the most poignant, the most beautiful. #JeSuisCharlie"	1
Pres. Obama's initial statement on the Paris terrorist attack did not condemn radical Islamists. He might try again later.  Or not.	1
What we do and don't know about the aftermath of the Charlie Hebdo shooting	1
The Eiffel Tower went dark Thursday evening to honor victims of #CharlieHebdo attack:	1
Amazing  photo apparently of hostages at #Paris supermarket siege being carried away. All app alive #c4news	1
"#Paris, now. In front of Notre-Dame. #silence #charliehebdo"	1
#CharlieHebdo: Everything you need to know about the magazine that refuses to be censored	1
What we know so far about the #CharlieHebdo attack and the double hostage-takings in France	1
"Everybody wants to  march in maudlin Princess Di-style candlelight vigils with ""Je Suis Charlie"" signs, nobody wants to be Charlie Hebdo."	1
"The shooting at French magazine #CharlieHebdo is a hideous attack on free speech, not just in Paris but everywhere"	1
Several attacks against mosques in France after Paris shooting: reports	1
So now let's talk seriously about #CharlieHebdo and Western double standard on freedom of speech	1
"New York, London, Paris, Bali, Madrid... These attacks &amp; many, many more brought 2 you courtesy of Muslim terrorists."	1
#CharlieHebdo. That is all.	1
"RT  #CharlieHebdo’s Charb: ""I would rather die standing up than live on my knees”"	1
Muslim “scholar” threatens Irish media with legal action if they publish cartoon.	1
The reason to have a #JeNeSuisPasCharlie convo now is precisely because #JeSuisCharlie is using the tragedy to elevate them above criticism	1
"Remember when Charlie Hebdo satirised Christianity, Judaism &amp; Catholicism &amp; people were killed because of it? Exactly. There's your problem."	1
"At 87 years of age, Asterix cartoonist Uderzo gets back on the drawing board #JeSuisCharlie via"	1
We are observing a minute's silence today at 11am. If you support press freedom please share &amp; join us #JeSuisCharlie	1
Do not share the video of masked gunmen at #CharlieHebdo offices executing a police officer. It is barbaric &amp; his life should be respected.	1
Paris Mayor Anne Hidalgo rushing to scene of hostage situation in Porte de Vincennes area of Paris:	1
Video has emerged showing the moment gunmen opened fire at #CharlieHebdo's HQ in Paris.	1
RIP #CharlieHebdo jihadist terrorist victims.This is why I'd tweeted it was so important for Muslims to openly *not* be offended by cartoons	1
OFFICIAL: Police launch assault where #CharlieHebdo suspects holed up (AFP):	1
"More freedom satire from Charlie Hebdo - ""The Pope in Paris: The French Are As Idiotic As The Blacks""  ht"	1
"I noted the BBC kept emphasising how #CharlieHebdo liked to ""provoke"". Almost as IF they deserved it? Sickening dhimmified BBC."	1
"Does somebody want to tell me how ISIS isn't Islam again, after murdering 12 in #France over a cartoon over muhammed?"	1
Cartoons don't insult me or my religion the brutal murder of innocent people does #JeSuisCharlie	1
"They wanted the people to crumble, instead they came together. #JeSuisCharlie"	1
This Is Why I and Other Muslims Won't Apologize for the Charlie Hebdo Attacks	1
"Chapeau, George Packer and  for telling it exactly as it is.  #JeSuisCharlie"	1
Satirical French magazine #CharlieHebdo attacked by gunmen: latest news report	1
"Rushdie: ""Religion, a mediaeval form of unreason, when combined with modern weaponry becomes a real threat to our freedoms"" #CharlieHebdo"	1
"If we hate after atrocities like this, we're doing exactly what the perpetrators want us to do #CharlieHebdo"	1
"Journalists, admin staff and police officers among those injured in #CharlieHebdo attack"	1
Breaking: Sources tell  #CharlieHebdo attack ws petty robbery! Cong demands French Govt give proof attackers are terrorists	1
Mayor of Paris Anne Hidalgo calls for march on Thursday through Paris's Republic Square after #CharlieHebdo attack	1
The terrorist actions perpetrated in Paris are not from Islam. Read a clarification from our brother Hasan Somali	1
#JeSuisCharlie trends after brutal shooting at #CharlieHebdo magazine	1
Not in our name – Muslims respond in revulsion to #CharlieHebdo shooting.	1
#CharlieHebdo: Everything you need to know about the magazine that refuses to be censored	1
Wrote and drew this on #CharlieHebdo and the history of cartoonists killed for their work	1
Hero police officer executed in street was 42-year-old married Muslim Ahmed Merabet  #CharlieHebdo	1
Independent cartoonist  on the story behind our #CharlieHebdo front page image	1
"As a Muslim, killing innocent people in the name of Islam is much, much more offensive to me than any cartoon can ever be. #CharlieHebdo"	1
Crowds gather for #charliehebdo vigils around Australia #JeSuisCharlie	1
"#MaryamRajavi condemns #CharlieHebdo attack in #Paris,offers her condolences to Fr ppl and Gov"	1
This is not a religion Important to remember in times like this. #CharlieHebdo	1
Pictures from the scene: Gunmen attack Paris #CharlieHebdo office	1
Look at the best of Charlie Hebdo's covers right here	1
"Calls for ""every newspaper in Europe"" to print Charlie Hebdo cartoons   #JeSuisCharlie"	1
There is no death penalty in France. Good that those terrorist killers are killed. #CharlieHebdo	1
#BREAKING Police launch assault where Charlie Hebdo suspects holed up: official source	1
"If you tweeted #JeSuisCharlie, please RT: #JeSuisJuif"	1
"One of my favourites, particularly relevant right now #CharlieHebdo"	1
"Today's cartoon, by  #CharlieHebdo #JeSuisCharlie"	1
While the BBC and UK press shamed themselves yesterday censoring #CharlieHebdo cartoons you know who reprinted them? Al Jazeera.	1
Police: Two hostage situations near Paris believed to be related to the attack at #CharlieHebdo. Watch:	1
Exactly the right response: mass #CharlieHebdo sharing starts at 14 GMT via	1
Huge crowd gathered in Union Square to show solidarity with France. #JeSuisCharlie Via	1
People worldwide are breaking out their pens to pay tribute to #CharlieHebdo shooting victims:	1
.                    Take a stand and RT:                      I am #CharlieHebdo                    I am #CharlieHebdo	1
Pray for the victims. Deadly terrorist attack on French magazine Charlie Hebdo in Paris #FreePress	1
You can't kill satire. You can only prove its point. --     #CharlieHebdo #JeSuisCharlie	1
I see humans but no humanity.  #LiberteDExpression #JeSuisCharlie  #charliehebdo	1
this is not a religion  #IamCharlie #CharlieHebdo	1
"Amazing MT  #France's most famous cartoonist, Uderzo, comes out of retirement for #CharlieHebdo."	1
"#CharlieHebdo: Angela Merkel says shooting in France is not only attack on French citizens, but on freedoms of press and speech ("	1
"France: Since last night, gunfire and bombings have targeted two mosques, a prayer room, and a Muslim family's car."	1
"I strongly condemn the horrific shooting at the offices of #CharlieHebdo, US President Obama says"	1
French police getting ready to use...tanks against two terrorists in #Dammartin siege?! #CharlieHebdo	1
'Stupidity will not win' - Survivors of #CharlieHebdo attack will publish new issue next week	1
#JeSuisCharlie. Solidarity. Freedom.	1
Too many equivocating opinion pieces on #CharlieHebdo. The quality of satire or speech is irrelevant. Murder for 'blasphemy' is an outrage.	1
"We condemn today's horrific attacks in #Paris. Our condolences and support go to the people of France, the victims, and their families."	1
And on France's motorways... #CharlieHebdo	1
Ambulance heading towards kosher market hostage situation in #Paris after several large explosions heard + gunfire	1
"We are monitoring police operation going on right now in #Reims, France. Latest on #CharlieHebdo attack on #AC360 8p"	1
If these fuckers in Paris didn't have hostages if AC130 them bitches.	1
"#CharlieHebdo editor, assassinated today, in 2012:""I prefer to die standing than to live on my knees."""	1
At least 12 dead in terrorist attack at satirical magazine in Paris. Our live blog:	1
"#CharlieHebdo last cover satirizing #ISIS If Mohammed returned:""But I'm the Prophet, blockhead!"" ""Shut up, infidel!"""	1
"Brilliant: Bob Mankoff, New Yorker cartoon editor #CharlieHebdo"	1
Here's the  cartoonist's response to the #CharlieHebdo attack:	1
"BREAKING: Charlie Hebdo editor and cartoonist Stephane Charbonnier among dead in attack on magazine, police say."	1
"#CharlieHebdo journalists 'provoked' their own slaughter, says American Catholic group"	1
This is how France’s top sports newspaper covered the #CharlieHebdo killings.	1
"“There are causes worth dying for, but none worth killing for.” ~ Albert Camus  #CharlieHebdo"	1
"#CharlieHebdo: If we talk about ‘war’, we fall into the trap set by murderers,"	1
"Let there be more, not less.  #CharlieHebdo"	1
We begin in Paris with a moment of silence for those killed in the #CharlieHebdo attacks.	1
"#JeSuisCharlie  Hey folks, enter for free paypal sums !"	1
Hypocricy  JNU LEFT was celebrating cartoons which depicted Durga as prostitute but denouncing #CharlieHebdo cartoons	1
Can these terrorist cunts in Paris just fucking stop with this bullshit! 😡	1
Photos from scene of deadly attack by gunmen at Paris offices of newspaper Charlie Hebdo.	1
Religion does not always correlate with ethics #JeSuisCharlie #ParisShooting #Islamophobia	1
2 brothers suspected in #CharlieHebdo attack killed by police after standoff NE of #Paris. Kosher market hostage-taking reportedly over too.	1
A beautiful sight of solidarity with #CharlieHebdo. #ParisShooting	1
"Civilians being evacuated, schools in lock down as new hostage situation unfolds in Paris"	1
I'd never seen Charlie Hebdo magazine or it characterisation of Muhammed until today. Now it's everywhere. Smart move ya dumb fuck fanatics.	1
BREAKING: Several schools evacuated as police surround #CharlieHebdo shooting suspects	1
I really don't understand why people in Europe think I'm a 'moron.'	1
Couple of go-arounds at CDG. Unknown if weather related or any connection to #CharlieHebdo shooting 5 km from airport	1
‘Muslims don't believe in freedom of speech’ – radical cleric Chaudry  #CharlieHebdo	1
BREAKING: French government raises security alert to highest level after deadly attack at magazine Charlie Hebdo.	1
#CharlieHebdo Attack. I have just been asked by AlJazeera if CharlieHebdo journalists should apologize (for making fun at Islamists).	1
People gather for a minute's silence to remember the victims of the #CharlieHebdo attack	1
French media calling #CharlieHebdo attack the worst attack in France in decades	1
Reports coming out from Paris say the policeman murdered on the pavement was Ahmed Merabet. A French muslim. #JeSuisCharlie	1
"Some read the Quran and blow up girls’ schools, but more read the Quran and build girls’ schools. —"	1
Egyptian paper Al Masry Al-Youm has taken bold step of publishing some of Charlie Hebdo's controversial front covers:	1
JUST IN | #France - Shooters target muslim family in their car.   Escalating..! #CharlieHebdo	1
I normally don't do politics on here but totally shocked by the events of yesterday and heartened by the world's reaction #JeSuisCharlie	1
Single finger raised by #CharlieHebdo gunman looks like what ISIS fighters often do in battle.  CC	1
"For those who, like me, wish Christooher Hitchens were here to comment, do read this:  (via  #JeSuisCharlie"	1
"RIP #AhmedMerabet, a Muslim police officer murdered trying to save #CharlieHebdo, who mocked his faith. #JeSuisAhmed"	1
"Gathering in support of #CharlieHebdo at 6pm in Trafalgar Square, London. Please share widely"	1
Did this in a rush for  before latest #CharlieHebdo media maelstrom	1
"The word 'Islam' means 'peace.' But the press makes us seem like haters"" - Muhammad Ali #JeSuisCharlie #NotInMyName"	1
To whom said #KillAllMuslims  just in case you are confused.    #CharlieHebdo	1
Free speech is the heart of western civilization and freedom. It MUST be defended to the death. #CharlieHebdo	1
Times Now is pillorying Mani Shankar Iyer for 'backlash' remark on #CharlieHebdo.Why spare Kiran Bedi's 'provoke/poke' tweet tho?	1
"After twenty years of writing about Muslim fundamentalist violence, I am running out of synonyms for atrocity"	1
"Charlie Hebdo: Norway didn’t give in to Islamophobia, nor should France"	1
A pile of pens at vigil in Paris for #CharlieHebdo victims. #JeSuisCharlie	1
