theme, label, id, tweet_text, tweet_author,
charliehebdo, 1, 553106869615472640, Oh France.... my heart breaks for the horrible terrorist attack on my beloved Paris.  Je t'aime, Pauley Perrette,
charliehebdo, 1, 553147368913506304, In times of outrage, intolerance becomes contagious. Guard against those who blame all Muslims for Paris attacks , Billy Bragg,
charliehebdo, 1, 553145422097969152,  has returned from holidays with a #CharlieHebdo tribute cartoon #JeSuisCharlie , Herald Sun,
charliehebdo, 1, 552847505763737600, I wake up to #NAACPBombing and #CharlieHebdo massacre, the violence of both betraying the insecurity &amp; weakness of the assailants., Baratunde,
charliehebdo, 1, 553212702714499074, Charlie Hebdo offended religious sensibilities? So did the Nigerian schoolgirls daring to go to school., Nelson Jones,
charliehebdo, 1, 552823198484819969, Al Qaeda added #CharlieHebdo editor to Most Wanted List for publishing Prophet Muhammad cartoons , Daily Mail Online,
charliehebdo, 1, 552841583251701761, . changes its avatar on Twitter to "Je Suis Charlie" after attack on #CharlieHebdo. , Christopher Miller,
charliehebdo, 1, 553195808930410496, anyone who attacks mosques or abuses Muslims in the aftermath of #CharlieHebdo is doing the work of the jihadis by persecuting innocents, Ex-Muslims Forum,
charliehebdo, 1, 552811772038881280, Hours before the attack, #CharlieHebdo published a cartoon featuring the Islamic State:  (epa) , USA TODAY,
charliehebdo, 1, 553172609211596800, Cartoonists around the world respond to the #CharlieHebdo killings:  , Fusion,
charliehebdo, 1, 553214939838836736, #JesuisAhmed commemorates Muslim police officer Ahmed Merabet murdered in Charlie Hebdo attack  , HuffPost UK,
charliehebdo, 1, 553128548526227456, Salman Rushdie makes an impassioned plea to defend the art of satire #CharlieHebdo  , IndyPeople,
charliehebdo, 1, 552840606074953728, The more I read the more gut wrenchingly depressing it is. Killing people for fun using religion as an excuse. Tossers
#JeSuisCharlie, Robert Llewellyn,
charliehebdo, 1, 553542093683974144, I'm not #CharlieHebdo &amp; neither are the French or anyone else unless the duplicity in/of 'freedom' is abolished. #JeSuisCharlie #JeSuisAhmed, Shuja Rabbani,
charliehebdo, 1, 553211397782654976, French police block road to Longpont, north-east of Paris, as hunt for suspects in #CharlieHebdo attack continues , BBC Breaking News,
charliehebdo, 1, 552851433247477760, « He drew first » Cartoon for #CharlieHebdo team from cartoonist  (Canberra Times, Australie) , Gilles Klein,
charliehebdo, 1, 552841049467400192, People died today for telling jokes. #CharlieHebdo, BRIAN MICHAEL BENDIS,
charliehebdo, 1, 553590750701551616, When you've lost Hezbollah...  , Farhad Manjoo,
charliehebdo, 1, 553545857304629248, More police arrive at hostage situation scene in eastern Paris (LIVE)  , RT,
charliehebdo, 1, 552825739075022848, If all white people aren't responsible for #NAACPBombing than neither should all Muslims be responsible for #CharlieHebdo. #JeSuisCharlie, Abraham Gutman,
charliehebdo, 1, 552837561119686656, "But who wants the English in Europe?" Quite enjoying some of these #CharlieHebdo covers:  , Richard Godwin,
charliehebdo, 1, 553178273895956480, Charlie Hebdo to continue publishing in the wake of the attack  , WSJ Europe,
charliehebdo, 1, 553152448077258753, Headquarters of  and  in Berlin. #JeSuisCharlie , Charles Hawley,
charliehebdo, 1, 552796625467621376, #CharlieHebdo: Love is stronger than hate. , Jane Bradley,
charliehebdo, 1, 553210869010935808, . In many respects, Indian liberals agree with the Islamic extremists who  attacked #CharlieHebdo. , Sadanand Dhume,
charliehebdo, 1, 553541838494515200, All who said #JeSuisCharlie this week must today say #JeSuisJuif - I am a Jew. Stand with France's Jews against this vile attack., AJC,
charliehebdo, 1, 552820384039706624, In solidarity with freedom of speech and religion and #CharlieHebdo we should all tweet #NoNegotiationswithTerrorists , KevinFox,
charliehebdo, 1, 553096943455727617, UK's security committee Cobra to meet later, following #CharlieHebdo attack  , BBC News (UK),
charliehebdo, 1, 553479401296625664, Charlie Hebdo cartoonist Wolinski’s daughter: ‘I don’t think you can kill ideas’ , The Guardian,
charliehebdo, 1, 553188225691684864, Tremendous front page to today's  Bravo  et al. Simply brilliant. #JeSuisCharlie

↓ , Matt Willey,
charliehebdo, 1, 553496228055777280, Breathtaking. The cover of next week's New Yorker, by Ana Juan #JeSuisCharlie , Eoin Ó Cathasaigh,
charliehebdo, 1, 553116149333114880, #CharlieHebdo will survive. 
 , Carol Verde,
charliehebdo, 1, 553227258782306304, So heartbroken for France...thinking of all my French friends across the sea today #JeSuisCharlie , CHARLENE KAYE,
charliehebdo, 1, 553144448452792321, 60 seconds of #solidarite.  #CharlieHebdo #JeSuisCharlie , Independent.ie,
charliehebdo, 1, 553559880599359488, →  Charlie Hebdo cartoons: media around the world chart different courses #CharlieHebdo 943 , Patricia Johnson,
charliehebdo, 1, 553119235904643072, It's OK to criticize Charlie Hebdo:  Their cartoon of Boko Haram sex slaves as welfare queens: , Alexis Okeowo,
charliehebdo, 1, 552819649599897601, To all my Muslim friends: you don't need to apologize for the #CharlieHebdo attack in Paris. A criminal committed a crime, not Islam., Abraham Gutman,
charliehebdo, 1, 553480876315901953, An estimated 6000 Jews left France last year and the international media paid no heed: , Nigel Farage,
charliehebdo, 1, 552819316702199811, NEWSPAPERS: PUT THE MOHAMMED CARTOON ON YOUR FRONT PAGE TOMORROW. SHOW THEM WHO'S RUNNING THIS. #publishtheprophet #CharlieHebdo, John al-Johnsonson,
charliehebdo, 1, 552842580929826816, When you feel justified in killing people over cartoons, you have clearly lost your mind. #CharlieHebdo, Bina Shah,
charliehebdo, 1, 553584868685520897, Smoke seen from building where Charlie Hebdo attack suspects are located. LIVE video:  , Reuters Live,
charliehebdo, 1, 553538483474534400, beautiful #JeSuisCharlie cover for  next week , Gareth Cook,
charliehebdo, 1, 553485654030446592, So all you #JeSuisCharlie sheep, you make me sick, condemn the killings but don't make heroes and martyrs out of the racist idiots., Adly,
charliehebdo, 1, 553155289235881984, The French flag flying at half-mast from Glasgow City Chambers today. #JeSuisCharlie , Glasgow City Council,
charliehebdo, 1, 552835109372825601, New Yorker's reaction to #CharlieHebdo shooting , Gisela Pda,
charliehebdo, 1, 553544266526760960, Photos from the manhunt for #CharlieHebdo suspects and ongoing hostage situations:  , Wall Street Journal,
charliehebdo, 1, 552815122897727488, I am shaking with rage at the attack on Charlie Hebdo. It's an attack on the free world. The entire free world should respond, ruthlessly., Roger Cohen,
charliehebdo, 1, 552818334643658752, The world needs this viewpoint a lot more. #CharlieHebdo , Simon Overall,
charliehebdo, 1, 552836829234614272, Twitter users are expressing solidarity with #CharlieHebdo by using the hashtag #JeSuisCharlie  , Guardian news,
charliehebdo, 1, 552837086425128961, #France update: Car on fire in at synagogue in Paris is an accident, not related w/#CharlieHebdo - #Sarcelles Mayor , José Miguel Sardo,
charliehebdo, 1, 553172900270727169, The threat of violence should not become an excuse or justification for restricting freedom of speech. #JeSuisCharlie , Nikhil,
charliehebdo, 1, 553200115079712768, Charlie Hebdo will publish this week with a print run of 1 million, up from the usual 60,000  , VANITY FAIR,
charliehebdo, 1, 552843236797349889, Here is a 1st list of the demonstrations planned today throughout France to pay tribute to #CharlieHebdo &amp; to protest , Agnes Poirier,
charliehebdo, 1, 552807101442322432, Attack on #CharlieHebdo:The intl community cannot allow extremists to silence the free flow of opinions  #pressfreedom, UNESCO,
charliehebdo, 1, 552844104418091008, #CharlieHebdo editor, assassinated today, said in 2012: "I prefer to die standing than to live on my knees." , Grasswire,
charliehebdo, 1, 552840805678084096, Sad truth, is that if u crticize #islam even after #CharlieHebdo massacre, u wl still b labeled 'right wing fanatic' or islamophobic!, Francois Gautier,
charliehebdo, 1, 553481335948709888, A powerful  front cover : #CharlieHebdo , Douglas Herbert,
charliehebdo, 1, 553540580912156672, The famous French cartoonist, Charb assassinated in #Paris, wrote recently about  #Kurds .#CharlieHebdo , Dilba kurd,
charliehebdo, 1, 552836775191019520, Man urinates in the mosque! Prophet asks to let him to finish, then wash it away. Then sits and calmly explains to him. #CharlieHebdo, Iyad El-Baghdadi,
charliehebdo, 1, 552791159232540673, This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices  , David Jack,
charliehebdo, 1, 553227288859664384, #JeSuisCharlie in numbers , BBC Trending,
charliehebdo, 1, 553143179038715904, Let 2015 be the year that women all around the world took up cartooning/comics to tell their stories. #CharlieHebdo , Sarah McIntyre,
charliehebdo, 1, 552801667855695873, Masked gunmen pictured near #CharlieHebdo offices  , Daily Mail Online,
charliehebdo, 1, 552982560146726912, True cowardice:  blurred out stereotypical imam in cover of #CharlieHebdo, left image of stereotypical Hasidic Jew., Ben Shapiro,
charliehebdo, 1, 552829176018112513, "This is an attack on free speech" - French President Hollande after #CharlieHebdo shooting:  , AJE News,
charliehebdo, 1, 552817367995002880, Too many news organisations now showing online footage of killings at #CharlieHebdo office but not the cartoons for which they were murdered, Anshel Pfeffer,
charliehebdo, 1, 553560219981459457, Excellent! The new cinema and art critics #JeSuisCharlie , patrickbaz,
charliehebdo, 1, 553492417023057920, #CharlieHebdo journalists inside dammartin asked to avoid filming police positions to not alert suspects where they are., Kim Willsher,
charliehebdo, 1, 552812040926941185, If we submit to extremists this Cartoon by Robert Mankoff from The New Yorker will be the norm. #CharlieHebdo , Liam Shorte,
charliehebdo, 1, 553509591888441344, The solution. #JeSuisCharlie #CharlieHebdo , Ruben L. Oppenheimer,
charliehebdo, 1, 553196263064498176, The unarmed policeman executed by the Charlie Hebdo terrorists was a Muslim , David Burge,
charliehebdo, 1, 552844436460560384, The silence you hear is 2,000,000,000 Muslims not condemning this terror attack.

#CharlieHebdo, AdolfJoeBiden™,
charliehebdo, 1, 552978972963643392, Cartoonists respond with the only tools they have  #JeSuisCharlie , Lara Sinclair,
charliehebdo, 1, 553531802347122689, #France's most famous cartoonist, 87 yr old Uderzo - father of Asterix - comes out of retirement for #CharlieHebdo. , Patrick van Leeuwen,
charliehebdo, 1, 552837814946394112, #JeSuisCharlie: The internet unites against #CharlieHebdo terrorists.  , The Sun,
charliehebdo, 1, 553591980748734464, BREAKING: Gunmen in #CharlieHebdo massacre reportedly killed:  , VICE News,
charliehebdo, 1, 553545386082979841, Police release pictures of man and woman suspected of shooting a policewoman in #ParisAttacks  , Sky News,
charliehebdo, 1, 553126517187047424, We stand in solidarity with our Ally #France #CharlieHebdo , NATO,
charliehebdo, 1, 552849157694947328, #CharlieHebdo editor/cartoonist Stephane "Charb" Charbonnier and 3 other cartoonists among those killed, police say. , CNN Breaking News,
charliehebdo, 1, 553573432554979328, For the 1st time since World War II there’ll be no Friday service in the Paris Grand Synagogue. At loss of words. #JeSuisJuif #JeSuisCharlie, Zeev Suraski,
charliehebdo, 1, 553139573019406336, We stand united with the victims of the brutal attack in Paris and with the people of France! #JeSuisCharlie RT! , Powerful Pictures,
charliehebdo, 1, 552802098602319873, Map shows where gun attack on satirical magazine #CharlieHebdo took place in central Paris  , BBC News Graphics,
charliehebdo, 1, 553567076728963073, Zuckerberg on #CharlieHebdo: Facebook will protect free speech  , Mashable,
charliehebdo, 1, 553582011324329984, Gunshots and explosions heard in #Dammartin  , FRANCE 24,
charliehebdo, 1, 552818868604129280, Charlie Hebdo’s editor:  "When activists need a pretext to justify their violence, they always find it.”  #CharlieHebdo, Stephen Mangan,
charliehebdo, 1, 553561169923829760, #illridewithyou and #respectformuslims and #jesuischarlie all trended worldwide. Not so much on #jesuisjuif. Jewish blood is cheap., Ben Shapiro,
charliehebdo, 1, 553099800951136256, My clip on  - scrutinising Islam as an idea is not the same as anti-Muslim hate crime  #JeSuisCharlie, Maajid Nawaz,
charliehebdo, 1, 552820265994829824, #NUJ on Charlie Hebdo killings: assassination of journalists and an attempt to assassinate the free press. - , NUJ,
charliehebdo, 1, 552808461940301825, #CharlieHebdo-an equal opportunity satirical mag in the grand tradition of #France.
Long may that tradition continue!
#FreedomOfSpeech, Bonnie Greer,
charliehebdo, 1, 552831101312303104, 12 people have reportedly been killed in a shooting at French satirical magazine Charlie Hebdo  , Variety,
charliehebdo, 1, 553221281181859841, Have said it before, but needs saying again: Stop asking Muslims to condemn terrorism. It's bigoted and Islamophobic. , Max Fisher,
charliehebdo, 1, 553590072373968897, JUST IN: Two brothers responsible for Charlie Hebdo massacre have been killed in Dammartin standoff, according to multiple reports, CBS News,
charliehebdo, 1, 553227220765130752, A 60-second tribute to the victims of the #CharlieHebdo attack  , BBC News (World),
charliehebdo, 1, 552838479844216833, These four pillars of press freedom gone...
#CharlieHebdo , Eleanor Beardsley,
charliehebdo, 1, 553141935482093568, #BREAKING Paris newspaper Charlie Hebdo will come out next week, despite bloodbath: editorialist, Agence France-Presse,
charliehebdo, 1, 552849662991151104, BREAKING NEWS: The 4 French cartoonists killed in #CharlieHebdo  terror attack today. RIP , Breaking News Feed,
charliehebdo, 1, 553540478403366912, LIVE coverage on the hostage situation with Paris attack suspects:  , Reuters Live,
charliehebdo, 1, 552814216550563840, Our statement on the Charlie Hebdo attack: defend freedom of speech, resist hatred. , New Humanist,
charliehebdo, 1, 552832721945628672, "Our thoughts and prayers are with the victims of this terrorist attack and the people of France" -Pres. Obama statement on #CharlieHebdo., TODAY ,
charliehebdo, 1, 553162401940770816, The Earth without Art is just 'Eh'. #streetart #JeSuisCharlie , Charlie Southwell,
charliehebdo, 1, 553184082277187585, If you r a Muslim on social media &amp; have not yet tweeted "I am #CharlieHebdo," then you are an Islamist and our enemy , Tarek Fatah  ਤਾਰਿਕ ,
charliehebdo, 1, 552839843999645697, "Now they're gonna think we're all bad guys", a Muslim bar owner from the neighborhood told me #CharlieHebdo, Anaïs Bordages,
charliehebdo, 1, 553559095798931456, Tensions high: French police stop scooter near scene of kosher grocery  , The Independent,
charliehebdo, 1, 553174536028303360, World sends messages of condolence, outrage, defiance via #JeSuisCharlie after Paris attack:  , ABC News,
charliehebdo, 1, 553551435762503681, No one can say this is a surprise. In July window-smashing rioters stormed thru Paris chanting 'gas the Jews' , David Burge,
charliehebdo, 1, 552842140188147712, This Michael Shaw cartoon from the  archives says a little and says a lot. #charliehebdo , Ann Marie Lipinski,
charliehebdo, 1, 552822450824962048, We are all Charlie Hebdo. Kill us all! 
#CharlieHebdo  , Gianluca Costantini,
charliehebdo, 1, 553570659805454336, White terrorists are 'mentally ill', while brown terrorists are 'Islamic assassins'. #NAACPBombing #CharlieHebdo , Bipartisan Report,
charliehebdo, 1, 553152400832606208, Why terrorists can't kill Charlie Hebdo‘s ideas , WIRED,
charliehebdo, 1, 553555705945288704, Just as French society rose up and nobly said #JeSuisCharlie, it must now stand with its Jewish community and say #JeSuisJuif – I Am a Jew., Avi Mayer,
charliehebdo, 1, 552830433688571904, Everything we know about the #CharlieHebdo attack so far
 , The Independent,
charliehebdo, 1, 552796522904297472, We don't know who carried out Charlie Hebdo attack. However if they were Muslims, then they are the enemies of me and most other Muslims., Mohammed Amin,
charliehebdo, 1, 552830599002857472, #JeSuisCharlie #CharlieHebd #ChalieHebdo One Child, one teacher, one book, and one pen,can Change the World -Malala-  , Lluís Ahicart,
charliehebdo, 1, 553588326578417664, VIDEO Ambulances &amp; police race to site of hostage scene north-east of Paris as #CharlieHebdo gunmen reported killed , Sky News,
charliehebdo, 1, 552833795142209536, The East London Mosque would like to offer its sincere condolences to the families of those killed during the #CharlieHebdo attacks (1/2), East London Mosque,
charliehebdo, 1, 552803757864787968, Freedom of speech is a right as much as a cause worth fighting for. Obscurantism is a danger made real today #CharlieHebdo, jean jullien,
charliehebdo, 1, 553591055833382913, BREAKING: Two Charlie Hebdo attack suspects in Dammartin-en-Goele killed by security forces: govt source. , Reuters Top News,
charliehebdo, 1, 552818870281850881, The Roots of Evil #CharlieHebdo , Calestous Juma,
charliehebdo, 1, 553200769671761920, French Muslims condemn the Charlie Hebdo shooting   , i100,
charliehebdo, 1, 553567850301231106, unprecedented: Paris ring road empty at Porte de Vincennes 100m fr hostage taking. Armed police everywhere , Catherine Nicholson,
charliehebdo, 1, 552816933851394048, #CharlieHebdo  journalist: "We want to laugh at the extremists—every extremist. They can be Muslim, Jewish, Catholic" , Shashank Joshi,
charliehebdo, 1, 553136237083889664, Pictured: Ahmed Merabet, hero officer executed in #CharlieHebdo attack  , Daily Mail Online,
charliehebdo, 1, 553231516290269184, Pictures From #CharlieHebdo Solidarity Vigils Across The Globe
 , BuzzFeed,
charliehebdo, 1, 553113395487330304, How Parisians responded to the #CharlieHebdo attack...  , The Independent,
charliehebdo, 1, 553487579077550082, Hundreds of massacres committed daily against muslims in Burma and nobody says a word

#CharlieHebdo
#JeSuisCharlie , شؤون عربية سنية,
charliehebdo, 1, 552791678881660928, Cowardly attack on Charlie Hebdo's offices. The humourless fanatics can fuck off. Freedom of speech is more important than your feelings., Karl Sharro,
charliehebdo, 1, 553201523577331712, Yes, they drew first. Don't ever be silent, don't ever be ignorant. We stand with you! #JeSuisCharlie
Everyone RT! , Powerful Pictures,
charliehebdo, 1, 553205372719472640, People held pencils in tribute to #CharlieHebdo victims during the moment of silence in Paris  , New York Times World,
charliehebdo, 1, 552807536894947329, The attack on Charlie Hebdo is likely to radicalize all sides in the debate about Islam and Islamism. That's what terrorists are aiming for., Uli Speck,
charliehebdo, 1, 552985973445783552, Hollywood on #CharlieHebdo shooting: "Free speech must be defended"  , Variety,
charliehebdo, 1, 553585838056280064, BREAKING: Gunfire and new explosions heard at the site of hostage-taking in eastern Paris: Reuters reporter , Reuters Top News,
charliehebdo, 1, 553168646051475456, Let 2015 be the year more people from around the world take up cartooning/comics to tell their stories #JeSuisCharlie , Sarah McIntyre,
charliehebdo, 1, 552811254667288576, #CharlieHebdo: what we know so far  , Claire Phipps,
charliehebdo, 1, 552804784819154944, I support #CharlieHebdo and a free press. Please RT these cartoons to show a united and dignified defiance. , Martin Daubney,
charliehebdo, 1, 553214576956043264, ➟  » UPDATE » 692 Charlie Hebdo  Charlie Hebdo shooting: arrests made as police hunt for suspects – live updates #Cha…, Barbara ,
charliehebdo, 1, 552818922798727168, You shouted 'Allahu Akber' whilst murdering others? You are a disgrace to my religion. May the dead rest in peace #notinmyname #charliehebdo, Ali Gokal,
charliehebdo, 1, 552817785949396992, As a Muslim, I find the murder of innocent people more despicable and offensive than any cartoon could ever be. #CharlieHebdo, Zainab Akhtar,
charliehebdo, 1, 552833527444566016, A satire on Mohammed can get you killed. A satire on Hindu God can get You 300 Crs!
 And still Hindus should learn tolerance?
#CharlieHebdo, Rishi Bagree,
charliehebdo, 1, 553544078768766977, Google pushes cash to Charlie Hebdo but not Al-Ikhbariyah. What's is Google's view of the world? , WikiLeaks,
charliehebdo, 1, 552805830677258240, RAW VIDEO (WARNING GRAPHIC):
Terror Attack on Charlie Hebdo Paris Headquarters:
 via  
#ParisShooting, AKilluminati,
charliehebdo, 1, 553107939926736896, 2 police officers killed during Charlie Hebdo attack were Ahmed Merabet, Franck Brinsolaro, police spokeswoman says. , CNN Breaking News,
charliehebdo, 1, 552836854085459968, The only way Global Media can pay respect to #CharlieHebdo martyrs is by reprinting and republishing them. Again &amp; again &amp; again &amp; again...., Yashwant Deshmukh,
charliehebdo, 1, 553161458931236864, We stand with Charlie Hebdo in rejecting oppression and violence in all its forms. 
 , PETA UK,
charliehebdo, 1, 553592108699758592, MORE: Police official: Suspects in Charlie Hebdo massacre killed, hostage freed: , The Associated Press,
charliehebdo, 1, 553486601146617856, In case you are confused. Check who's the terrorist and who's the #Muslim. #JeSuisCharlie #JeSuisAhmed , patrickbaz,
charliehebdo, 1, 552832142397296641, Incredible to see universal outrage in #Europe over #CharlieHebdo, but double standards when it comes to #Palestinian attacks on #Israel., Arsen Ostrovsky,
charliehebdo, 1, 552846287314640897, #JeSuisCharlie: The hashtag of solidarity after Paris attack that killed 12.  via  , Jim Roberts,
charliehebdo, 1, 552833197084778496, Social media users show solidarity for #CharlieHebdo with #JeSuisCharlie hashtag  , Sky News,
charliehebdo, 1, 553539504146231298, DEVELOPING: Women, children held in second Paris hostage situation; may be related to massacre , Fox News,
charliehebdo, 1, 553170912129056770, 24 of the most powerful cartoons related to the #CharlieHebdo tragedy:  , CNN International,
charliehebdo, 1, 552830521340723200, Egypt top Muslim institution Al Azhar and the Arab league condemn Paris #CharlieHebdo attack. , Jenan Moussa,
charliehebdo, 1, 553545000110538753, Only Jew-hatred explains why Europeans pretend Israel's enemies are not the West's, as Muslims murder Jews and #CharlieHebdo in Paris., Ben Shapiro,
charliehebdo, 1, 553584366803488770, Smoke rising over first #Paris hostage scene. Watch live on CNN. , CNN Breaking News,
charliehebdo, 1, 553114307383541761, This is Melbourne right now! 
#JeSuisCharlie
#CharlieHebdo 
 , HuffPostUK Pictures,
charliehebdo, 1, 552807013764575232, Follow this list for journalists &amp; media outlets covering the attack on #CharlieHebdo magazine in Paris: , BBC News (World),
charliehebdo, 1, 553203538579701760, Details of attacks on Muslim community in France, grenades, &amp; shootings in aftermath of the #CharlieHebdo attack , Aamer Anwar,
charliehebdo, 1, 553490241445965824, After the awful attack on #CharlieHebdo, France should set example of tolerance, protect Muslims from reprisals , Izza Leghtas,
charliehebdo, 1, 553551148280729602, Everyone who blamed #CharlieHebdo cartoons for provoking its own slaughter, tell that to the dead shoppers at a Kosher supermarket in Paris, #JeSuisJuif,
charliehebdo, 1, 552980299769200640, Crowd gathered at Union Square in NYC right now to memorialize those killed in #CharlieHedbo attack. #JeSuisCharlie , Christopher Miller,
charliehebdo, 1, 553177822312013825, Charlie Hebdo magazine is planning a print-run of its next issue of a million copies, not usual 60,000. Expected to sell out #wato, Sunny Hundal,
charliehebdo, 1, 553160213839486976, MT  The Eiffel tower to switch off the lights at 20h in tribute to #CharlieHebdo victims , France Diplomacy,
charliehebdo, 1, 552831230735962113, A 2012 cartoon by the  - well worth remembering today #CharlieHebdo #ParisShooting , Shilpa Kannan,
charliehebdo, 1, 552835339325558785, #JeSuisCharlie trending Worldwide - over 56,000 tweets (via  More via   , BBC Outside Source,
charliehebdo, 1, 552824456557887488, Retweet if you think satire should not be censored:
"Love stronger than hate":
#CharlieHebdo , Tom Pride,
charliehebdo, 1, 553544336475168769, The Eiffel Tower went dark last night to remember the victims of #CharlieHebdo  #JeSuisCharlie , The Culture Trip,
charliehebdo, 1, 553219651594125312, #AJEOpinion: "It’s going to get a lot worse for France’s Muslims" #CharlieHebdo  , Al Jazeera English,
charliehebdo, 1, 552980760500916225, #Iran'ian regime has been initiated   nourished the idea of killing fatwa starting with Salman Rushdie #JeSuisCharlie , Peymaneh Shafi,
charliehebdo, 1, 553584173420920833, Our vantage point on the gunfire and explosions in Dammartin , Ian Woods,
charliehebdo, 1, 552814978823385088, Today, as journalists "bravely" voice support for #CharlieHebdo, ask them for their piece calling on Yale to publish the Muhammad cartoons., Will Antonin,
charliehebdo, 1, 552831978522021890, I may not agree with what you say but will defend your right to say it - Voltaire #JeSuisCharlie #LibertéDexpression , Tobias Lehr ,
charliehebdo, 1, 552831624283693056, #CharlieHebdo’s Charb: "I would rather die standing up than live on my knees”   /ht , Yannis Koutsomitis,
charliehebdo, 1, 552825664307744769, Muslim can't be terrorist, and terrorist can't be Muslim. I deplore and strongly condemn the inhuman attack against #CharlieHebdo, Ihsan Yılmaz,
charliehebdo, 1, 552820735513612288, “If liberty means anything at all, it means the right to tell people what they do not want to hear." #CharlieHebdo , LibertarianGeo,
charliehebdo, 1, 553529789794250753, Out of all the cartoons we've seen, I think this is the most poignant, the most beautiful. #JeSuisCharlie , Phil ✏️,
